City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Constitucion,CL,2020-02-21 06:48:02,-35.33,-72.42,53.94,74,0,6.2
178,Petropavlovsk-Kamchatskiy,RU,2020-02-21 06:51:07,53.05,158.65,19.4,34,100,4.47
179,Preobrazheniye,RU,2020-02-21 06:51:07,42.9,133.91,31.98,75,100,5.88
180,Maldonado,UY,2020-02-21 06:51:08,-34.67,-54.92,64.4,59,75,23.04
181,Beloha,MG,2020-02-21 06:51:08,-25.17,45.05,89.01,42,0,3.31
182,Kieta,PG,2020-02-21 06:51:08,-6.22,155.63,85.12,68,56,4.03
183,Kavaratti,IN,2020-02-21 06:51:08,10.57,72.64,86.0,70,20,4.7
184,Karratha,AU,2020-02-21 06:51:09,-20.74,116.85,82.33,84,50,12.21
185,Aracati,BR,2020-02-21 06:48:46,-4.56,-37.77,76.15,92,100,1.95
186,Salalah,OM,2020-02-21 06:48:03,17.02,54.09,78.8,61,75,5.82
187,Qaanaaq,GL,2020-02-21 06:47:14,77.48,-69.36,-14.93,53,0,5.01
188,Morehead,US,2020-02-21 06:51:10,37.27,-87.18,27.0,62,1,4.7
189,Ife,NG,2020-02-21 06:51:11,7.47,4.57,69.4,97,30,1.77
190,Ribeira Grande,PT,2020-02-21 06:47:07,38.52,-28.7,52.12,77,56,9.48
191,Bengkulu,ID,2020-02-21 06:49:26,-3.8,102.27,92.57,46,42,2.24
192,Inhambane,MZ,2020-02-21 06:51:11,-23.86,35.38,86.0,62,40,6.85
193,Tynda,RU,2020-02-21 06:50:57,55.17,124.72,5.27,92,100,2.48
194,Kamenka,RU,2020-02-21 06:51:12,51.32,42.77,35.01,88,96,3.58
195,Makakilo City,US,2020-02-21 06:51:12,21.35,-158.09,73.4,73,75,8.05
196,Newport,GB,2020-02-21 06:51:13,51.59,-3.0,45.0,87,90,14.99
197,Chuy,UY,2020-02-21 06:51:13,-33.7,-53.46,58.26,68,0,11.99
198,La Argentina,CO,2020-02-21 06:51:13,2.2,-75.98,60.06,93,100,3.09
199,Coquimbo,CL,2020-02-21 06:49:03,-29.95,-71.34,60.8,87,90,3.36
200,Nayoro,JP,2020-02-21 06:51:14,44.35,142.46,28.4,79,75,6.93
201,Pyaozerskiy,RU,2020-02-21 06:51:14,65.83,31.17,23.95,87,100,17.81
202,Torbay,CA,2020-02-21 06:51:14,47.67,-52.73,10.99,60,20,21.92
203,Jeremie,HT,2020-02-21 06:51:15,18.65,-74.12,66.78,81,0,4.05
204,Xichang,CN,2020-02-21 06:51:15,27.9,102.26,50.07,47,40,7.87
205,Touros,BR,2020-02-21 06:51:15,-5.2,-35.46,75.2,94,40,4.7
206,Lorengau,PG,2020-02-21 06:51:15,-2.02,147.27,83.26,76,75,13.11
207,Katsuura,JP,2020-02-21 06:51:16,35.13,140.3,55.99,47,20,9.17
208,San Quintin,MX,2020-02-21 06:51:16,30.48,-115.95,64.2,64,100,3.76
209,Okato,NZ,2020-02-21 06:51:16,-39.2,173.88,69.01,97,100,13.0
210,Voyvozh,RU,2020-02-21 06:51:16,62.89,54.96,14.58,95,91,3.58
211,Twin Falls,US,2020-02-21 06:50:23,42.56,-114.46,21.99,85,1,10.29
212,Igra,RU,2020-02-21 06:51:17,57.56,53.05,30.88,95,99,5.32
213,Airai,TL,2020-02-21 06:51:17,-8.93,125.41,74.8,87,100,2.89
214,Te Anau,NZ,2020-02-21 06:51:18,-45.42,167.72,55.53,70,59,10.09
215,Virden,US,2020-02-21 06:51:18,39.5,-89.77,21.0,79,1,4.7
216,Port Elizabeth,ZA,2020-02-21 06:50:03,-33.92,25.57,69.8,83,75,5.82
217,Barabai,ID,2020-02-21 06:51:18,-2.58,115.38,92.43,46,83,3.91
218,Vardo,NO,2020-02-21 06:51:19,70.37,31.11,24.8,85,75,28.86
219,San Patricio,MX,2020-02-21 06:51:19,19.22,-104.7,76.26,80,0,4.74
220,Tuatapere,NZ,2020-02-21 06:51:19,-46.13,167.68,57.99,78,85,18.99
221,Norman Wells,CA,2020-02-21 06:51:19,65.28,-126.83,23.0,85,75,6.93
222,Uige,AO,2020-02-21 06:51:20,-7.61,15.06,69.24,93,77,3.11
223,Pachino,IT,2020-02-21 06:51:20,36.72,15.09,42.01,82,0,1.99
224,Zhuhai,CN,2020-02-21 06:48:00,22.28,113.57,75.99,72,20,9.17
225,Islampur,IN,2020-02-21 06:51:20,26.27,88.2,81.79,32,0,7.16
226,Sanmenxia,CN,2020-02-21 06:51:21,34.77,111.18,54.55,18,0,17.43
227,Traverse City,US,2020-02-21 06:46:22,44.76,-85.62,23.0,85,1,3.36
228,Port Moresby,PG,2020-02-21 06:51:21,-9.44,147.18,91.4,59,40,17.22
229,Skibotn,NO,2020-02-21 06:51:22,69.39,20.27,32.0,86,75,6.93
230,Sao Filipe,CV,2020-02-21 06:48:50,14.9,-24.5,68.27,83,2,17.16
231,Yellowknife,CA,2020-02-21 06:47:35,62.46,-114.35,21.0,79,5,6.93
232,San Jeronimo,PE,2020-02-21 06:51:22,-11.95,-75.28,42.44,82,100,2.37
233,Mar Del Plata,AR,2020-02-21 06:48:19,-38.0,-57.56,57.99,67,75,13.87
234,Kotelnich,RU,2020-02-21 06:51:23,58.31,48.35,29.77,94,89,5.95
235,Visby,SE,2020-02-21 06:51:23,57.64,18.3,42.01,93,75,20.8
236,Oranjemund,NA,2020-02-21 06:51:23,-28.55,16.43,63.52,85,87,11.52
237,Taunggyi,MM,2020-02-21 06:51:24,20.78,97.03,86.43,20,0,4.34
238,Ilulissat,GL,2020-02-21 06:47:34,69.22,-51.1,-2.2,64,42,4.7
239,Kirakira,SB,2020-02-21 06:51:24,-10.45,161.92,81.28,81,40,5.14
240,Volot,RU,2020-02-21 06:51:24,57.93,30.7,32.77,89,0,9.24
241,Jinchang,CN,2020-02-21 06:51:25,38.5,102.17,31.01,32,0,4.52
242,Zafra,ES,2020-02-21 06:51:25,38.42,-6.42,48.0,93,0,2.24
243,Nome,US,2020-02-21 06:51:25,64.5,-165.41,6.8,65,90,14.99
244,Zhigansk,RU,2020-02-21 06:51:25,66.77,123.37,-5.75,96,100,22.01
245,Jacareacanga,BR,2020-02-21 06:51:26,-6.22,-57.75,71.96,97,100,1.92
246,Plettenberg Bay,ZA,2020-02-21 06:48:53,-34.05,23.37,67.33,83,21,3.58
247,Port-Gentil,GA,2020-02-21 06:51:26,-0.72,8.78,82.4,88,40,9.17
248,Behat,IN,2020-02-21 06:51:27,30.17,77.62,68.56,58,100,16.78
249,Sistranda,NO,2020-02-21 06:51:27,63.73,8.83,39.99,69,40,16.11
250,Khatanga,RU,2020-02-21 06:51:27,71.97,102.5,6.55,95,100,10.54
251,Quelimane,MZ,2020-02-21 06:48:24,-17.88,36.89,82.31,72,81,4.32
252,Acapulco,MX,2020-02-21 06:51:28,16.86,-99.89,73.4,88,5,3.36
253,Newcastle,AU,2020-02-21 06:51:28,-32.93,151.78,75.99,60,100,13.87
254,Necochea,AR,2020-02-21 06:51:28,-38.55,-58.74,57.99,66,62,21.99
255,Los Llanos De Aridane,ES,2020-02-21 06:51:28,28.66,-17.92,60.8,67,3,6.93
256,Ust-Nera,RU,2020-02-21 06:51:29,64.57,143.2,-27.98,99,100,3.8
257,Natal,BR,2020-02-21 06:51:29,-5.79,-35.21,75.2,94,20,8.05
258,Krasnaya Yaruga,RU,2020-02-21 06:51:29,50.8,35.66,33.8,86,58,4.47
