City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Viedma,AR,89.35,clear sky,-40.81,-63.0,Hotel casa crespo
161,Kaliganj,BD,70.36,clear sky,23.41,89.14,"মেসার্স মদিনা ট্রেডাস ,কালীগঞ্জ ,ঝিনাইদহ!"
162,Mohgaon,IN,78.93,broken clouds,21.65,78.72,SBM TOILET WARD NO 01
163,Alice Springs,AU,71.6,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
167,Najran,SA,78.8,scattered clouds,17.49,44.13,محمد هادي ال فطيح
175,Bengkulu,ID,74.64,few clouds,-3.8,102.27,Grage Hotel Bengkulu
176,Ovalle,CL,82.6,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
177,Todos Santos,MX,84.0,broken clouds,23.45,-110.22,Hotel California Todos Santos
181,Vallenar,CL,74.7,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
182,Miri,MY,77.0,broken clouds,4.41,114.01,"Mega Hotel, Miri"
183,Mayumba,GA,81.84,light rain,-3.43,10.66,LIKWALE LODGE
186,Matara,LK,75.51,overcast clouds,5.95,80.54,Amaloh Boutique Resort
189,Pisco,PE,71.6,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
190,Gwadar,PK,73.04,clear sky,25.12,62.33,Sadaf Resort
193,Bac Lieu,VN,74.79,clear sky,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
195,Puerto Escondido,MX,86.0,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
200,Biak,ID,82.85,scattered clouds,-0.91,122.88,Kost Ariz
203,Mocuba,MZ,76.39,light rain,-16.84,36.99,Phama Lodge
206,Pauini,BR,85.86,overcast clouds,-7.71,-66.98,Casa do Kiwliks
210,Ormara,PK,73.71,clear sky,25.21,64.64,
211,Odweyne,SO,74.1,scattered clouds,9.41,45.06,Eng Hiirey House
212,Port Hedland,AU,80.6,broken clouds,-20.32,118.57,The Esplanade Hotel
215,Cocobeach,GA,84.2,few clouds,1.0,9.58,Hôtel A Cocobeach
216,Moron,AR,82.0,broken clouds,-34.65,-58.62,Hotel Morón
222,Lucea,JM,84.0,broken clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
